Date,Open,High,Low,Close,Adj Close,Volume
2020-06-09,3.230000,3.240000,3.090000,3.090000,2.964314,6354300
2020-06-10,3.130000,3.180000,3.100000,3.130000,3.002687,3755200
2020-06-11,3.140000,3.160000,3.030000,3.050000,2.925941,4090700
2020-06-12,2.960000,3.120000,2.930000,3.100000,2.973908,4983600
2020-06-15,3.070000,3.100000,2.980000,2.990000,2.868382,4617700
2020-06-16,3.100000,3.180000,3.100000,3.140000,3.012281,6608700
2020-06-17,3.150000,3.160000,3.090000,3.110000,2.983501,2757300
2020-06-18,3.070000,3.110000,3.060000,3.100000,2.973908,2104000
2020-06-19,3.100000,3.120000,3.060000,3.070000,2.945128,2518400
2020-06-22,3.050000,3.120000,3.040000,3.080000,2.954721,2872100
2020-06-23,3.090000,3.090000,2.960000,3.040000,2.916348,6345000
2020-06-24,3.060000,3.080000,2.990000,3.030000,2.906755,3231500
2020-06-25,3.000000,3.040000,2.980000,3.000000,2.877975,2846100
2020-06-26,3.030000,3.040000,3.000000,3.000000,2.877975,2300800
2020-06-29,2.970000,2.990000,2.870000,2.930000,2.810822,5818100
2020-06-30,3.000000,3.160000,2.980000,3.140000,3.012281,15751000
2020-07-01,3.160000,3.210000,3.120000,3.170000,3.041060,4672800
2020-07-02,3.170000,3.170000,3.110000,3.150000,3.021874,2409500
2020-07-03,3.170000,3.200000,3.140000,3.160000,3.031467,2350700
2020-07-06,3.170000,3.320000,3.140000,3.310000,3.175366,12272600
2020-07-07,3.340000,3.360000,3.220000,3.230000,3.098620,3316700
2020-07-08,3.210000,3.300000,3.180000,3.280000,3.146586,4674400
2020-07-09,3.310000,3.320000,3.150000,3.240000,3.108213,3451300
2020-07-13,3.260000,3.290000,3.210000,3.210000,3.079433,2799200
2020-07-14,3.210000,3.220000,3.030000,3.070000,2.945128,11805500
2020-07-15,3.110000,3.130000,3.050000,3.070000,2.945128,3567300
2020-07-16,3.050000,3.090000,3.020000,3.020000,2.897161,3348500
2020-07-17,3.050000,3.150000,3.040000,3.110000,2.983501,5789800
2020-07-20,3.170000,3.220000,3.100000,3.200000,3.069840,7428400
